,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
244,1.42216E+12,2015-01-25 00:00:00-05:00,40.366,41.724,39.3,40.72,78601085,40.79924
245,1.42277E+12,2015-02-01 00:00:00-05:00,40.794,45.096,40.66,43.472,95238425,43.37746
246,1.42337E+12,2015-02-08 00:00:00-05:00,43.076,44.1,38.656,40.754,201744925,41.25998
247,1.42398E+12,2015-02-15 00:00:00-05:00,41.14,43.52,40.3,43.422,89147410,41.91439
248,1.42458E+12,2015-02-22 00:00:00-05:00,43.132,43.64,40.34,40.668,146838920,41.3797
249,1.42519E+12,2015-03-01 00:00:00-05:00,40.54,41.238,38.4302,38.776,140829045,39.74366
250,1.42579E+12,2015-03-08 00:00:00-05:00,38.878,39.236,37.464,37.736,134374390,38.19644
251,1.42639E+12,2015-03-15 00:00:00-04:00,38.4,40.918,37.96,39.616,140369410,39.3618
252,1.427E+12,2015-03-22 00:00:00-04:00,39.7,40.758,36.28,37,123723890,38.47482
253,1.4276E+12,2015-03-29 00:00:00-04:00,37.17,38.752,36.36,38.2,119491680,37.87419
254,1.42821E+12,2015-04-05 00:00:00-04:00,39.6,42.33,39.5,42.18,154873465,41.1991
255,1.42881E+12,2015-04-12 00:00:00-04:00,42.087,42.6,40.7,41.358,64327780,41.58784
256,1.42942E+12,2015-04-19 00:00:00-04:00,41.356,44.376,40.77,43.685,103469280,43.10253
257,1.43002E+12,2015-04-26 00:00:00-04:00,44.512,47.75,44.081,45.206,154425680,46.09215
258,1.43063E+12,2015-05-03 00:00:00-04:00,45.636,47.9,44.05,47.322,148132660,46.46943
259,1.43123E+12,2015-05-10 00:00:00-04:00,47.258,49.88,47.062,49.768,124496775,48.77246
260,1.43184E+12,2015-05-17 00:00:00-04:00,49.4,50.2,48.2744,49.546,74883720,49.30618
261,1.43244E+12,2015-05-24 00:00:00-04:00,49.536,50.5735,49.01,50.16,71717240,49.83368
262,1.43304E+12,2015-05-31 00:00:00-04:00,50.282,50.32,49.136,49.828,59413660,49.67104
263,1.43365E+12,2015-06-07 00:00:00-04:00,50.17,51.75,49.7,50.138,72744945,50.75733
264,1.43425E+12,2015-06-14 00:00:00-04:00,49.94,52.872,49.202,52.502,74647445,51.58873
265,1.43486E+12,2015-06-21 00:00:00-04:00,52.43,54.282,51.138,53.418,87652140,52.95634
266,1.43546E+12,2015-06-28 00:00:00-04:00,52.39,56.49,52.14,56.004,79146490,54.25489
267,1.43607E+12,2015-07-05 00:00:00-04:00,55.776,56.338,50.862,51.83,111964955,52.94996
268,1.43667E+12,2015-07-12 00:00:00-04:00,52.45,55.108,51.21,54.932,67490705,53.3348
269,1.43728E+12,2015-07-19 00:00:00-04:00,55,57.33,52.172,53.082,96279185,54.29005
270,1.43788E+12,2015-07-26 00:00:00-04:00,52.486,53.872,50.158,53.23,78186035,52.30975
271,1.43849E+12,2015-08-02 00:00:00-04:00,53.258,54.2,47.224,48.502,154087335,50.1788
272,1.43909E+12,2015-08-09 00:00:00-04:00,47.63,49.586,46.548,48.63,106219740,48.01606
273,1.4397E+12,2015-08-16 00:00:00-04:00,51.112,52.19,46.102,46.154,132359990,49.80707
274,1.4403E+12,2015-08-23 00:00:00-04:00,40.558,50.29,39,49.696,160027765,46.04322
275,1.44091E+12,2015-08-30 00:00:00-04:00,49.124,50.99,47.394,48.386,113340480,49.02946
276,1.44151E+12,2015-09-06 00:00:00-04:00,49.01,50.85,48.81,50.048,57944310,49.72717
277,1.44212E+12,2015-09-13 00:00:00-04:00,50.22,53.1,49.9,52.124,87848870,51.59948
278,1.44272E+12,2015-09-20 00:00:00-04:00,52.796,54.314,51.16,51.382,98034345,52.3025
279,1.44333E+12,2015-09-27 00:00:00-04:00,51.47,51.958,46.986,49.514,112653695,49.30173
280,1.44393E+12,2015-10-04 00:00:00-04:00,49.768,49.968,43.672,44.138,140156535,46.33295
281,1.44454E+12,2015-10-11 00:00:00-04:00,44.598,46.0961,42.226,45.402,96455050,44.1116
282,1.44514E+12,2015-10-18 00:00:00-04:00,45.3,46.23,40.4,41.818,143260170,42.57015
283,1.44575E+12,2015-10-25 00:00:00-04:00,42.276,43.42,40.778,41.386,79406545,42.18215
284,1.44635E+12,2015-11-01 00:00:00-04:00,41.784,46.9169,41.444,46.472,159615160,44.85195
285,1.44696E+12,2015-11-08 00:00:00-05:00,46.598,46.598,41.304,41.438,90809500,43.54376
286,1.44756E+12,2015-11-15 00:00:00-05:00,41.218,45.238,41.16,44.002,73955355,43.52993
287,1.44817E+12,2015-11-22 00:00:00-05:00,43.47,46.45,42.936,46.322,54733120,44.702
288,1.44877E+12,2015-11-29 00:00:00-05:00,46.358,47.72,45.532,46.076,74442015,46.64128
289,1.44877E+12,2015-11-29 00:00:00-05:00,46.358,47.72,45.532,46.076,74442015,46.64128
290,1.44938E+12,2015-12-06 00:00:00-05:00,45.54,47.126,43.328,43.404,71150150,45.17016
291,1.44998E+12,2015-12-13 00:00:00-05:00,43.502,47.552,42.974,46.092,82465365,45.5363
292,1.45059E+12,2015-12-20 00:00:00-05:00,46.338,47.31,45.626,46.114,30899615,46.39393
293,1.45119E+12,2015-12-27 00:00:00-05:00,46.298,48.7268,45.108,48.002,53592765,47.42128
294,1.4518E+12,2016-01-03 00:00:00-05:00,46.144,46.276,42.154,42.2,104876675,43.9283
295,1.4524E+12,2016-01-10 00:00:00-05:00,42.802,42.89,38.676,40.998,116895680,40.81458
